words,property,detail
abalone,의미:,전복
abolition,의미:,
aboveboard,의미:,"legitimate, honest, and open."
aboveboard,예문:,We need to be aboveboard
abstinence,의미:,abstention from sexual intercourse
abstinence,예문:,"Comprehensive sex education includes age-appropriate, medically accurate information on a broad set of topics related to sexuality including human development, relationships, decision-making, abstinence, contraception, and disease prevention."
Accede to,의미:,"assent or agree to a demand, request, or treaty."
Accede to,예문:,pacify or placate (someone) by acceding to their demands.
acid reflux,의미:,
acquiesce,의미:,
acquiesce,예문:,"When women acquiesce to the requirement that they perform femininity, it is a way of letting others around them know that they know that they are still first and foremost female."
adjunct,의미:,"a person working at an institution, as a college or university, without having full or permanent status"
adjunct,예문:,she's a adjunct professor
adjuvant,의미:,"(of therapy) applied after initial treatment for cancer, especially to suppress secondary tumor formation."
adjuvant,예문:,Novophage Therapeutics offers a differentiated antibiotic adjuvant therapy with three unique characteristics
akin to,의미:,similar to
akin to,예문:,"That’s akin to adding more than a Texas-sized amount of wind power, and enough to power millions of American homes."
alum,의미:,동문(요즘 이 단어를 많이 사용한다고 한다. 복수 형태는 alums)
anachronism,의미:,belonging to a period other than that being portrayed.
anesthetize,의미:,"administer an anesthetic to (a person or animal), especially so as to induce a loss of consciousness."
anesthetize,예문:,Don't anesthetize your readers
antiquated idea,의미:,old-fashioned or outdated.
appease,의미:,pacify or placate (someone) by acceding to their demands.
appease,예문:,Don’t worry this picture is just to send to club sports to appease them.
appropriation,의미:,a sum of money or total of assets devoted to a special purpose.
appropriation,예문:,"The agency has a 900,000 budget appropriateion from the State of Oregon for 2014"
appropriation,의미:,the borrowing of an element of cultural expression of one group by another.
appropriation,예문:,"The requirement that women balance their appropriation of masculine interests, traits, and activities with feminine performance is called the feminine apologetic."
Ascertain,의미:,to find out or learn with certainty
Ascertain,예문:,we try to ascertain whether or not they've been manipulated. We use mathematical and computational techniques to detect alterations in them
at capacity,의미:,
at capacity,예문:,it operates at capacity
at each other's throat,의미:,
autism,의미:,A serious developmental disorder that impairs the ability to communicate and interact.
back to the drawing board,의미:,"Revising something (such as a plan) from the beginning, typically after it has failed."
back to the drawing board,예문:,That ad campaign was not as successful as we had hoped. Back to the drawing board.
back to the drawing board,예문:,We need to go back to the drawing board on this project. I think it had some fundamental flaws from the start.
back-formation,의미:,"a word that is formed from an already existing word from which it appears to be a derivative, often by removal of a suffix"
back-formation,예문:,"The term is a back-formation from the 14th-century word peevish, meaning ""ornery or ill-tempered""."
backlog,의미:,"an accumulation of something, especially uncompleted work or matters that need to be dealt with."
backlog,예문:,This example demonstrates a good product market match because bill gates and paul allen secured a large backlog of purchase orders for the new operating system before they apporoached Seattle Computer
bale,의미:,"(짚)a bundle of paper, hay, cotton, etc., tightly wrapped and bound with cords or hoops."
bale,예문:,the fire destroyed 500 bales of hay
balk,의미:,to stop short and refuse to proceed
balk,예문:,but such an action could lead to even lower activity levels if customers balk at the attempt to recover excess capacity at their expense.
ballpark,의미:,to guess
Bank on,의미:,to depend on something happening or on someone doing something
Bank on,예문:,I'm gonna bank on this (not appearing on the exam).
be on the look out for,의미:,"to be watching carefully in order to find, obtain, or avoid someone or something"
be on the look out for,예문:,She will be coming back next semester for another talk regarding advanced race tactics as our competitive season nears so be on the lookout for that announcement!
behemoth,의미:,a huge or monstrous creature.
behemoth,의미:,"something enormous, especially a big and powerful organization."
behemoth,예문:,"ex)?Major investors like the pension fund behemoth known as Calpers have made it a part of their philosophy, even though the strategy has costs in lost investment opportunity."
behemoth,예문:,Sports are an impressive behemoth of institutionalization
behind the eightball,의미:,"in a difficult, disadvantageous, or uncomfortable situation"
behind the eightball,예문:,"If you start behind the eightball, you will never get in front"
benevolent,의미:,well meaning and kindly.
benevolent,예문:,"Lastly, women are subjected to a benevolent form of sexism"
Best-case scenario (not best possible scenario),의미:,
betterment,의미:,the act or process of improving something.
betterment,예문:,they believed that what they were doing was vital for the betterment of society
bigot,의미:,a person who is intolerant toward those holding different opinions.
bigot,예문:,don't let a few small-minded bigots destroy the good image of the city
bigotry,의미:,intolerance toward those who hold different opinions from oneself.
bigotry,예문:,the difficulties of combating prejudice and bigotry
Bluster,의미:,"talk in a loud, aggressive, or indignant way with little effect."
Bluster,예문:,There's certainly been a lot of bluster on both sides in the past few weeks with each side imposing tariff.
bruise,의미:,멍
buffoonery,의미:,behavior that is ridiculous but amusing.
buffoonery,예문:,a comic dramatic work using buffoonery and horseplay and typically including crude characterization and ludicrously improbable situations
bulwark,의미:,a defensive wall.
bulwark,예문:,"So in order to protect against Chinese cyber threats, the U.S. could take it upon itself to create a bulwark: a comprehensive, standardized network."
bum,의미:,a person without a settled home or regular work who wanders from place to place and lives by begging.
burn somebody up,의미:,to make someone angry
burn somebody up,예문:,Try to put my finger on what burns me up It always seems to escape me
business speak,의미:,"Corporate jargon, variously known as corporate speak, corporate lingo, business speak, business jargon, management speak, workplace jargon, or commercialese, is the jargon often used in large corporations, bureaucracies, and similar workplaces.[1][2] The use of corporate jargon, also known as ""corporatese"", is criticised for its lack of clarity as well as for its tedium, making meaning and intention opaque and understanding difficul"
business speak,예문:,avoid business speak
bust down,의미:,"break, split, or burst (something)."
bust down,예문:,SWAT team is known for busting down doors.
bust someone's balls,의미:,
buzzword (informal),의미:,"a word or phrase, often an item of jargon, that is fashionable at a particular time or in a particular context."
buzzword (informal),예문:,"It's hard to do, especially if you work with people who are addicted to buzzwords. It takes a lot of practice."
by virtue of,의미:,as a result of something
by virtue of,예문:,"Benevolent sexism, by making women more dependent on men by virtue of expressing positive characteristics, ultimately positions women as inferior"
by virtue of,예문:,"If you enjoy meeting people and building relationships, FMP is great because every 6 months you’ll work with a different team. If you can stay in touch with everyone, you’ll build a strong network by virtue of those rotations."
bylaw,의미:,a rule made by a company or society to control the actions of its members.
bylaw,예문:,You are gonna go through these bylaws
carcass,의미:,the dead body of an animal.
case,의미:,a set of facts or arguments supporting one side of a debate or controversy.
case,예문:,the economic case is growing strong
castigate,의미:,"to subject to severe punishment, reproof, or criticism"
castigate,예문:,Today she is frequently castigated as one of the worst professional athletes of all time
catch-22,의미:,a dilemma or difficult circumstance from which there is no escape because of mutually conflicting or dependent conditions.
catch-22,예문:,"the show-business catch-22?no work unless you have an agent, no agent unless you've worked"
catchall,의미:,a term or category that includes a variety of different possibilities.
catchall,예문:,Obsolescence is the catchall for situations not involving inadequacy and supersession.
catch-all,의미:,something that covers a wide variety of items or situations
catch-all,예문:,he list is just a catchall of things I want to see or do on vacation
categorical,의미:,unambiguously explicit and direct.
categorical,예문:,a categorical assurance that annual premiums would not increase
caveat,의미:,"a warning or proviso of specific stipulations, conditions, or limitations."
caveat,예문:,"The decision is a victory for President Trump, who green-lighted the project back in March, as well as TransCanada (+1.31%), the company behind the infrastructure fiasco. One caveat: the commission ruled Keystone XL will have to follow an alternative path to the one initially proposed."
check out,의미:,"둘이 서로 맞아 떨어진다(cost accounting, 좌변 우변 일치)"
chipmunk,의미:,
chode,의미:,A chode (also choad) is a penis that is as wide or wider than it is long.
choke up,의미:,"if someone chokes up, or if something chokes them up, they cannot speak because they are starting to cry"
choke up,예문:,Choke up when he's crying
Choppy,의미:,
Choppy,예문:,When the stock was really? choppy
